#https
#cuts
#val err
75.692505 127.1995778189
90.281624 246.6617277723
119.057579 229.8027085093
151.716873 352.3246983845
178.152969 499.0212521301
230.907578 694.2041623071
269.672028 641.1281666297
306.171844 889.5010722059
358.351746 881.3641694353
404.132111 1117.2234320329
436.306763 1968.5913844291
490.547882 1591.8189223295
540.784241 1118.1413522247
570.156677 1587.6811407173
599.57019 1690.1737512841
623.713379 1776.4463711739
644.024292 1782.5568376575
672.694946 2413.0859712008
683.087891 2517.5621026668
680.27417 2021.8936481283
682.567139 1652.1455973764
676.896179 1943.7626253088
681.272156 1825.081555622
675.285034 1695.6788001761
658.730835 2359.1526705317
673.688232 1625.1915894082
667.035828 1647.7237397082
667.697815 1642.3633276906
674.310852 1655.8516776759
657.942993 2405.906495564
669.506165 1997.3400886134
670.811584 2144.8693626499
675.241821 2033.4518949459
679.236938 1789.1548482665
683.920349 2226.1405503587
682.991577 2511.690108169
672.087463 2376.9408980397
660.75116 2423.4788792742
634.857605 1875.8902712503
606.95166 1519.2105096324
588.945557 1914.3709166783
539.689087 1281.4297353116
499.566071 1184.4188784691
453.511444 1149.8881824559
418.197266 1082.3336413467
365.231079 825.3483853823
318.414673 796.0848528425
274.387665 794.5189977835
233.747589 788.1610128349
188.432129 499.2658000999
150.708405 253.2157915205
119.18084 227.5365558098
95.168541 162.1715854433
71.468575 169.6798592684
