idx,ylossParam4At2,ylossParam4At4,ylossParam4At6,ylossParam4var,remnant_energy_loss_fraction,shadowing_factor,tau_form_mean,BG,string_source_sigma_x,string_source_sigma_eta,stringTransverseShiftFrac,shear_viscosity_3_eta_over_s_T_kink_in_GeV,shear_viscosity_3_eta_over_s_low_T_slope_in_GeV,shear_viscosity_3_eta_over_s_high_T_slope_in_GeV,shear_viscosity_3_eta_over_s_at_kink,bulk_viscosity_3_zeta_over_s_max,bulk_viscosity_3_zeta_over_s_T_peak_in_GeV,bulk_viscosity_3_zeta_over_s_width_in_GeV,bulk_viscosity_3_zeta_over_s_lambda_asymm,eps_switch
0,0.002,2.604,2.922,0.943,0.899,0.419,0.4616,12.465,0.3828,0.2673,0.887,0.18457,-1.217,1.493,0.13825,0.12343,0.22746,0.10762,0.3438,0.1415
1,1.242,3.9,5.07,0.131,0.267,0.795,0.804,20.377,0.3476,0.6985,0.411,0.19443,-1.799,-0.613,0.04781,0.03185,0.29658,0.07162,-0.1994,0.3725
2,1.97,3.748,0.666,0.041,0.493,0.963,0.54,4.001,0.4532,0.4157,0.121,0.28181,-1.007,0.467,0.17511,0.09303,0.15114,0.03862,0.4418,0.4735
3,0.49,0.316,0.21,0.827,0.261,0.049,0.22,23.873,0.1604,0.5627,0.437,0.27671,0.577,1.943,0.02767,0.16067,0.18426,0.06212,0.3494,0.2755
4,1.806,2.372,0.27,0.407,0.809,0.243,0.9816,23.551,0.3012,0.3233,0.205,0.14547,0.175,-0.229,0.19335,0.07023,0.12558,0.13737,-0.4766,0.1325
5,0.522,1.324,3.558,0.697,0.655,0.593,0.8888,15.225,0.4724,0.4409,0.289,0.23319,-0.797,1.907,0.07061,0.03755,0.13494,0.12113,-0.7902,0.4245
6,1.698,0.108,4.338,0.965,0.595,0.933,0.2968,6.025,0.2132,0.7027,0.693,0.24305,0.619,-0.097,0.14965,0.18195,0.19902,0.14963,-0.2666,0.3645
7,0.302,1.708,1.914,0.861,0.021,0.889,0.4296,17.985,0.41,0.7587,0.755,0.14683,0.031,-0.709,0.17473,0.03945,0.25086,0.13487,0.0358,0.5575
8,0.926,2.172,3.774,0.567,0.019,0.131,0.9912,20.515,0.1004,0.3079,0.311,0.25087,0.949,0.623,0.09455,0.17359,0.25194,0.04838,0.1002,0.3835
9,0.594,1.972,0.834,0.285,0.983,0.495,0.3416,17.755,0.2332,0.4269,0.925,0.28249,-1.745,-0.133,0.07517,0.15611,0.25554,0.08563,-0.555,0.2285
10,0.89,0.556,3.93,0.255,0.333,0.159,0.2872,8.923,0.4852,0.2281,0.031,0.14275,-0.581,1.775,0.16561,0.05807,0.26022,0.14488,-0.6306,0.2865
