#https
#cuts
#val err
66.552315 120.2697422302
81.143486 199.1829976432
105.073273 189.6273315694
132.410583 287.9165104446
155.094833 347.9732582169
192.098938 407.0472557474
227.808228 491.0253491045
257.933594 559.1369671209
292.328156 741.6067882563
330.815521 792.9692689959
358.876709 1191.3371344469
406.713531 744.7393553632
435.704803 867.6511729087
461.414124 974.8587984255
485.904663 971.9832683179
508.736267 1060.83095616
519.503906 1076.4751176585
537.04126 1292.5988447212
542.211426 1210.3132650475
552.656616 1461.7620565806
548.225464 1095.242570507
542.598145 1343.4045307868
546.857117 1090.4785002719
539.963806 1253.7945688227
539.454895 1135.4909226459
536.338318 1155.7903049511
550.328247 1290.4147600207
543.212463 998.3475901419
546.471252 1119.6517833931
538.235718 1185.9912940467
540.873413 1214.9413716718
553.052917 1288.533464805
542.851868 1332.1218425959
544.876831 1234.1233494066
547.593262 1235.8719306605
544.183167 1295.1493578647
535.575623 1229.3274320548
516.764038 1188.5431035749
506.960144 991.6635547618
488.169678 906.2064200064
466.863251 873.7559720525
443.45285 912.8318707757
416.901611 984.3068965373
377.780212 730.7223851531
345.313049 804.2840486904
304.247742 643.3213636421
261.524475 460.6668927313
226.656876 460.4984647906
193.633987 445.5718390829
158.6073 272.8708538582
130.937469 211.6952648642
107.30011 154.1774959042
85.623856 129.7220603766
66.197273 125.0502436511
