#https
#cuts
#val err
14.770778 3.9349414836
15.775605 2.8995402617
16.03064 3.6114577763
16.89617 3.0460285903
16.786045 4.8234119274
17.798939 3.8834416561
18.715219 3.2474230918
19.412439 3.0837857947
20.857679 1.5258767292
21.417221 1.4954717722
22.587006 0.6395157147
22.248688 1.5474588654
22.56218 1.5230275671
22.56093 1.823688522
22.749557 1.6402882519
22.928396 1.3067283377
22.81316 1.2315089706
22.960215 0.7132095126
22.670698 0.6044594591
22.148575 0.6284094319
21.615126 0.5877007253
20.996445 0.57335184
20.057413 0.8502218852
19.405575 0.822956692
18.779785 0.7848333507
18.202597 0.7351326751
17.743143 0.6229824946
17.245951 0.6107645788
16.777397 0.6305093687
16.401293 0.6130956638
16.192678 0.4795288872
15.945663 0.400681304
15.68944 0.3240315477
15.261436 0.3380712011
14.931284 0.2382947254
14.234889 0.3103831008
13.501287 0.3350608127
12.741189 0.2953602025
11.611946 0.4390049258
10.639478 0.3919536355
9.596102 0.3449045102
8.582106 0.2539908772
7.673891 0.1226672911
6.604158 0.0954941494
5.477372 0.1124882667
4.537561 0.0878086407
3.345261 0.2210485964
2.578927 0.2035616919
2.065141 0.120568103
1.75734 0.0343289938
1.288609 0.0338904598
0.956051 0.0245631782
0.668134 0.0229019004
0.53583 0.0085735216
